,SBL
0,56.31698582887898
1,56.44015290395781
2,56.04491571427762
3,56.339452043620526
4,56.177335113789134
5,56.39623976467607
6,56.5357264811129
7,56.25979796699036
8,55.937181404718615
9,55.68414532344127
10,55.42184057403211
11,56.16601784098761
12,55.57111676158049
13,55.76049656594592
14,55.99541730432541
15,55.48567420048016
16,55.6335770583749
17,55.327408661755086
18,56.11077507756237
19,55.45457352941468
20,55.70668606254885
21,56.262836840269166
22,56.58301621594529
23,56.40988800846115
24,56.04714181721296
25,57.05060079405887
26,57.64877904111984
27,57.99847120429748
28,58.21882864127418
29,57.756972575302974
30,57.50017377309219
31,57.62314883089434
32,57.9176679298509
33,59.13439476467309
34,58.703508222455
35,58.933079613853366
36,58.85893515862263
37,59.22584633942699
38,60.11643073129854
39,60.31149217498494
40,60.31543578737924
41,59.76651474270787
42,59.75285625722184
43,59.94514827463364
44,60.414366257923845
45,60.289064308736094
46,59.99211325276656
47,60.18042927379777
48,59.70552844358134
49,59.82163050924521
50,59.815831554159786
51,59.67556232092159
52,59.95099030248636
53,59.89127112846245
54,59.89963208705878
55,59.8227473013381
56,59.64559496997399
57,59.45712080687837
58,58.27375188919723
59,59.38126968825901
60,59.43389422961717
61,58.52715381454467
62,59.44599510268891
63,60.35785470788253
64,60.45679741307401
65,60.46531076864283
66,59.92151448863318
67,59.81214838172625
68,59.55967631793968
69,59.43675369277913
70,59.60791933444515
71,59.92820297422988
72,59.85073739020157
73,59.98931020852889
74,59.9101793540426
75,60.12156452686481
76,60.03678662064702
77,60.66435915890576
78,61.39969662745471
79,60.54583447413084
80,60.462993948494415
81,61.386622544501
82,62.05967083703231
83,62.22613993508949
84,61.11778198837733
85,61.52422977569967
86,61.9950051821458
87,61.36750522677539
88,60.68394596379871
89,61.71149714342707
90,61.990786818147456
91,61.95175739019929
92,62.60768970960388
93,63.14719724528295
94,62.74855580032556
95,64.2089811074992
96,63.77588610210661
97,63.86015496222614
98,63.96315558038695
99,63.5961322361442
100,63.693731845801246
101,63.61221808959288
102,63.57325218675035
103,63.35331597984226
104,64.67037473667938
105,64.61461704150047
106,63.82609429178038
107,65.31877625242873
108,64.67247710168651
109,64.08766255112508
110,64.91347772821327
111,65.01949527063097
112,64.90449465270231
113,65.79266682863077
114,65.1488577664553
115,64.72967012296803
116,64.8105519449296
117,64.28185217917031
118,63.89133964678584
119,64.85626365773855
120,63.70385745271072
121,63.40168743843825
122,64.09202850504552
123,64.52808994509155
124,64.43100789670541
125,63.2598158422497
126,64.31175573295411
127,64.98897346419896
128,65.12574911414961
129,64.85632794141456
130,65.01053145622788
131,64.3142129210399
132,63.7425740864134
133,63.31095697229646
134,63.082591269863066
135,62.61869906253399
136,62.92008858153346
137,62.41133113810023
138,62.48639809880894
139,61.18133818125696
140,60.28990437702347
141,59.99705901399298
142,58.958681365042594
143,59.099241138224606
144,58.71345042386253
145,58.20249454954251
146,59.15072354033062
147,59.672962387141645
148,59.05620478410308
149,58.45083842051633
150,57.90255275029748
151,57.82828959536838
152,57.503552738700265
153,56.78580495801603
154,57.7193287741908
155,56.79494372882402
156,56.36241211027487
157,55.91823675134732
158,56.1789830469916
159,56.02958968603146
160,54.9202437703007
161,55.262053790617685
162,54.904168873235584
163,54.74419438902694
164,54.00550374111573
165,53.95902033351893
166,55.09715596657277
167,55.42807794857192
168,54.86407913691257
169,54.32718214540169
170,54.281907993741136
171,55.19369511670703
172,55.13943849487242
173,55.23267944454042
174,55.4792168374668
175,55.27379098471446
176,55.16861859341938
177,54.84085867707856
178,55.00410251854002
179,55.47650846197649
180,54.3549091248137
181,54.573484291251496
182,55.23349832958786
183,55.68273993361101
184,55.18692287530285
185,55.66718666642264
186,55.10605417555922
187,54.74739434739525
188,54.69548792416612
189,55.627936028067296
190,54.9317554003773
191,54.91130266632703
192,54.80082998433888
193,54.28897596818098
194,54.280690500435256
195,53.676722511053896
196,53.19673829333948
197,53.93817010519087
198,54.50920911863034
199,54.09684383393279
200,53.88849485442904
201,53.52396548187543
202,53.48072924629862
203,54.097910062729326
204,53.9884145047084
205,53.13252085414063
206,53.46497722719428
207,53.59047514458657
208,53.80138830441589
209,54.292889285903385
210,53.78821554080722
211,53.89580894752663
212,53.2098229954192
213,53.1632838472923
214,53.36068334973818
215,53.47764821344709
216,53.27742728604857
217,53.44753621821488
218,53.13417102728557
219,54.12806550602342
220,52.902540202756136
221,53.1493582681593
222,53.01924179376988
223,52.7724763079637
224,52.30594084791269
225,52.27021777512755
226,51.94116637616779
227,52.02290722865752
228,53.00542113113167
229,52.63895489165408
230,53.5408213781786
231,53.29569389212357
232,52.97691052920497
233,53.410691114133286
234,53.81327555765498
235,52.78200666351948
236,52.79915074058157
237,52.36481913365012
238,53.3772795843844
239,53.7850118381689
240,54.43988397177752
241,53.941693399201725
242,53.45571435946332
243,54.05066974966668
244,53.88285926431296
245,53.36171525006642
246,54.18743211725101
247,54.69156178320472
248,55.16443260099708
249,54.78340363721032
250,55.17611050067506
251,55.121297821209325
