,weather
0,1.0133682032348785
1,1.223060111070095
2,-0.44723895369153316
3,0.14875423043525093
4,0.4652784172159062
5,-0.054469313824586404
6,0.6004356578921161
7,-0.11808307512746513
8,0.14893860297025752
9,0.6569017244878556
10,-0.12111895414950241
11,0.6190808695700359
12,1.2245838799049378
13,0.7528957375094723
14,1.0442607508377528
15,0.9742328369633088
16,0.5948994338101554
17,1.2311891961899089
18,1.4829140485585102
19,2.0089058158337423
20,1.8824898669208603
21,2.072270580081284
22,2.017452779278851
23,2.310944260877301
24,2.351036289595999
25,2.438730307451718
26,2.630093891988073
27,2.4083634430807135
28,2.583899424353177
29,1.5936684782072623
30,2.257396748907912
31,2.537415308158252
32,2.5240295414288214
33,2.1203505358366392
34,2.2797168989204852
35,2.387712191985537
36,2.5097468065202757
37,2.4423509574073266
38,1.8831196913736037
39,1.8151044565234298
40,2.1289234558166306
41,2.0998351417732595
42,2.372417008712817
43,2.5926346832684275
44,2.626940269231973
45,2.420859732214378
46,1.990956596832775
47,1.7931256306476682
48,2.08152080372354
49,2.276162631441554
50,1.4265633785934062
51,1.7201466908437466
52,1.653956726061431
53,1.8743397952192284
54,1.0402193337752494
55,0.7345337766479234
56,1.1725653031252956
57,1.0631006058327148
58,2.194995256670865
59,1.7346364041889517
60,1.9132455327153475
61,3.1621400691420614
62,3.000792518597581
63,3.408159158751923
64,2.8089513960397134
65,2.8103224934484228
66,3.3036991853537483
67,2.253495086219836
68,1.8269009296164629
69,2.850139019670233
70,2.459610718136486
71,2.453727707466551
72,2.3528989195586036
73,3.0247254335709046
74,2.7786144057893867
75,3.2633428627458723
76,3.586245975568095
77,3.4969516786732457
78,4.103587853425194
79,4.329995974362229
80,4.351048331241978
81,4.257188480666815
82,3.5339755493534564
83,3.2154885341387125
84,3.2323499914987206
85,3.4066990049655055
86,3.438433646532073
87,2.460496249710671
88,3.320421661465081
89,3.7500392164388203
90,4.101266472228148
91,4.265636569977083
92,3.559543634248161
93,4.482315712580504
94,5.007673866664609
95,5.105496083556953
96,5.4124536897232325
97,4.829490849950766
98,4.157424129442737
99,4.099643225728202
100,3.6564302689164063
101,3.3680481523525128
102,3.3942887792916276
103,2.985363517707453
104,3.6627762247029074
105,3.8249695292088055
106,4.828163645929483
107,4.921884980100721
108,4.943116829154379
109,4.178492197999617
110,5.212907602156422
111,4.777891111532669
112,4.735788973460669
113,4.195790091022312
114,3.737277556676824
115,4.028886288931671
116,3.480712883817796
117,2.626022006489631
118,3.231623129135857
119,3.1482793477815427
120,3.2972877679139745
121,3.437721795678927
122,4.300707676024578
123,4.364735181965594
124,4.335611302787334
125,4.059793770367267
126,4.7399472887103276
127,3.8998988939899264
128,3.653764905738972
129,3.3702778587454167
130,1.9867190846459333
131,2.2621917629377903
132,1.6428591196730185
133,1.6655572404302728
134,1.2820219591931432
135,0.6813476656536688
136,1.07798895339683
137,1.0707052101789705
138,0.25875143852512517
139,0.6574960048451123
140,0.670989569295196
141,1.2389775805623615
142,1.1197166308303108
143,1.716779578179214
144,0.8647832133590818
145,0.828671461469036
146,0.831885343437672
147,0.4797148664363474
148,0.5875509646592426
149,0.3529472301537617
150,0.9076352927812187
151,0.6715820940433335
152,1.2358271671462773
153,0.8251426553783368
154,0.5335807264324267
155,0.03275067147162828
156,-0.8056330723271496
157,-0.14726199999708223
158,-0.9629508350678079
159,-1.1606111766210314
160,-0.4400652951662662
161,-0.585229182100685
162,0.23307143061092597
163,-0.3069549264047302
164,-0.10459032470889727
165,0.9268948304806955
166,0.8384862771152239
167,0.5469180507655738
168,0.5955053187090071
169,-0.10773715931102454
170,0.8510454574097017
171,0.11113303761878551
172,0.9242539736533787
173,-0.19408863252461428
174,0.058952016600305066
175,0.1407602338902234
176,0.15429753071076602
177,-0.00970636689162633
178,-0.2614074105550724
179,-0.13092956463469818
180,0.10483450435604258
181,0.6724250460692102
182,0.3346026346145532
183,0.3469563269464209
184,0.20691964938200041
185,-0.17434389514068288
186,-0.5827736762600174
187,-0.4008545990134441
188,-1.2421775351965931
189,-0.649066229898184
190,-0.414908394706331
191,-0.5549177852316584
192,-0.3473615168724088
193,-0.18893142662140625
194,-1.076739060327596
195,-0.41991754563753836
196,-0.5027206614676839
197,-0.77392847632218
198,-0.2698044498727605
199,-1.1575422555792105
200,-1.1444589251170685
201,-1.0375194328671846
202,-0.2101650989686995
203,0.19214993962472218
204,-0.01753518230671061
205,-0.023173677661226952
206,0.3843265490234121
207,0.04873592917883332
208,0.24880935300431872
209,-0.21141509252930388
210,0.580374130549661
211,-0.001816694387114827
212,-0.20639005552242345
213,-1.4328742614566996
214,-1.0160405250963749
215,-1.3997044688217712
216,-1.0950025820974372
217,-2.0192310458602307
218,-2.1406783710125676
219,-1.917349816405523
220,-1.8343961832963314
221,-1.5054497144812107
222,-2.312942755647335
223,-1.7236528018375346
224,-1.3470789111146362
225,-1.1716930797114382
226,-0.42742228785254494
227,-0.6476671152665716
228,-0.16831033969622897
229,-0.2118856082075396
230,-0.5315316601953038
231,0.49458609419601646
232,-0.0925952062631736
233,-0.39536931258019586
234,-0.46849005636211305
235,0.7469211800693413
236,0.011574544127272213
237,0.377662141764618
238,0.19297478395757167
239,0.4332152753845552
240,-0.0355694140542954
241,0.09087981800055187
242,0.07623749508227542
243,0.5494115186152408
244,0.7134533247855297
245,0.22190003054934568
246,0.3099908653596693
247,0.10259060586467467
248,1.0014468792331612
249,1.0992019098898351
250,0.19183151316668984
251,1.437903805701449
